"PLOT","INVYR","Common.Name","DEAD","ELEV","LON","LAT"
80017,2007,"Douglas-fir",1,5940,-111.436421,34.430703
80017,2017,"Douglas-fir",0,5940,-111.436421,34.430703
80050,2008,"Douglas-fir",4,7700,-110.843833,31.727166
80050,2018,"Douglas-fir",4,7700,-110.843833,31.727166
80082,2005,"Douglas-fir",0,6320,-110.916835,34.283851
80082,2015,"Douglas-fir",1,6320,-110.916835,34.283851
80186,2004,"Douglas-fir",0,6040,-111.082966,34.362418
80186,2014,"Douglas-fir",0,6040,-111.082966,34.362418
80304,2005,"Douglas-fir",1,6560,-110.479504,34.225248
80304,2015,"Douglas-fir",1,6560,-110.479504,34.225248
80342,2001,"Douglas-fir",0,8020,-109.331941,33.561189
80342,2011,"Douglas-fir",2,8020,-109.331941,33.561189
80342,2021,"Douglas-fir",2,8020,-109.331941,33.561189
80358,2004,"Douglas-fir",4,8340,-109.251962,31.845898
80358,2014,"Douglas-fir",8,8340,-109.251962,31.845898
80406,2004,"Douglas-fir",0,8980,-112.165407,36.36761
80406,2014,"Douglas-fir",0,8980,-112.165407,36.36761
80411,2010,"Douglas-fir",0,9620,-109.644946,33.975422
80411,2020,"Douglas-fir",1,9620,-109.644946,33.975422
80493,2009,"Douglas-fir",2,8050,-109.274746,33.698489
80493,2019,"Douglas-fir",12,8050,-109.274746,33.698489
80527,2003,"Douglas-fir",0,7620,-109.061769,33.56193
80527,2013,"Douglas-fir",1,7620,-109.061769,33.56193
80558,2001,"Douglas-fir",1,8310,-109.749982,34.01936
80558,2011,"Douglas-fir",3,8310,-109.749982,34.01936
80558,2021,"Douglas-fir",0,8310,-109.749982,34.01936
80678,2007,"Douglas-fir",1,6130,-110.292676,34.114358
80747,2002,"Douglas-fir",1,7720,-109.152109,36.394259
80747,2012,"Douglas-fir",2,7720,-109.152109,36.394259
80798,2007,"Douglas-fir",0,7780,-111.005095,34.38637
80798,2017,"Douglas-fir",1,7780,-111.005095,34.38637
80908,2007,"Douglas-fir",3,7950,-110.814071,32.434074
80908,2017,"Douglas-fir",12,7950,-110.814071,32.434074
80921,2011,"Douglas-fir",0,5740,-109.916181,33.936078
80921,2021,"Douglas-fir",0,5740,-109.916181,33.936078
80941,2014,"Douglas-fir",0,7620,-110.952409,34.344444
80948,2008,"Douglas-fir",1,5580,-111.097549,34.340798
80948,2018,"Douglas-fir",1,5580,-111.097549,34.340798
80977,2004,"Douglas-fir",0,6880,-109.973259,34.027474
80977,2014,"Douglas-fir",0,6880,-109.973259,34.027474
81011,2014,"Douglas-fir",0,8610,-109.101467,36.400869
81013,2010,"Douglas-fir",15,9050,-109.11066,33.786068
81013,2020,"Douglas-fir",38,9050,-109.11066,33.786068
81039,2007,"Douglas-fir",1,7620,-109.160035,36.495331
81039,2017,"Douglas-fir",3,7620,-109.160035,36.495331
81134,2004,"Douglas-fir",7,6470,-111.382097,34.392021
81134,2014,"Douglas-fir",6,6470,-111.382097,34.392021
81195,2008,"Douglas-fir",1,6440,-112.338194,36.367801
81195,2018,"Douglas-fir",3,6440,-112.338194,36.367801
81226,2001,"Douglas-fir",0,7490,-111.306661,34.451708
81226,2011,"Douglas-fir",4,7490,-111.306661,34.451708
81226,2021,"Douglas-fir",8,7490,-111.306661,34.451708
81274,2008,"Douglas-fir",1,6580,-110.13108,34.028846
81274,2018,"Douglas-fir",6,6580,-110.13108,34.028846
81398,2006,"Douglas-fir",6,8820,-109.841835,32.642243
81398,2016,"Douglas-fir",14,8820,-109.841835,32.642243
81408,2002,"Douglas-fir",0,9180,-111.657875,35.376168
81408,2012,"Douglas-fir",1,9180,-111.657875,35.376168
81448,2008,"Douglas-fir",1,7970,-109.113265,36.311354
81448,2018,"Douglas-fir",1,7970,-109.113265,36.311354
81475,2014,"Douglas-fir",1,6830,-109.224076,36.133132
81545,2004,"Douglas-fir",1,8840,-112.16772,36.497929
81545,2014,"Douglas-fir",1,8840,-112.16772,36.497929
81575,2006,"Douglas-fir",0,6780,-110.723174,34.20456
81575,2016,"Douglas-fir",0,6780,-110.723174,34.20456
81578,2008,"Douglas-fir",4,8710,-109.273102,33.654905
81578,2018,"Douglas-fir",10,8710,-109.273102,33.654905
81589,2010,"Douglas-fir",0,7030,-110.931903,33.861951
81589,2020,"Douglas-fir",1,7030,-110.931903,33.861951
81638,2006,"Douglas-fir",1,9300,-109.616136,33.993697
81638,2016,"Douglas-fir",1,9300,-109.616136,33.993697
81670,2007,"Douglas-fir",0,9040,-109.595102,34.017347
81670,2017,"Douglas-fir",1,9040,-109.595102,34.017347
81746,2008,"Douglas-fir",3,8530,-112.172911,36.638896
81746,2018,"Douglas-fir",3,8530,-112.172911,36.638896
81770,2010,"Douglas-fir",0,5900,-110.186915,33.977613
81770,2020,"Douglas-fir",2,5900,-110.186915,33.977613
81780,2006,"Douglas-fir",0,7560,-109.230758,35.588911
81780,2016,"Douglas-fir",1,7560,-109.230758,35.588911
81800,2009,"Douglas-fir",3,7060,-109.250963,31.93967
81800,2019,"Douglas-fir",6,7060,-109.250963,31.93967
81807,2002,"Douglas-fir",0,8760,-109.433089,33.835968
81807,2012,"Douglas-fir",3,8760,-109.433089,33.835968
81826,2007,"Douglas-fir",0,8390,-110.319359,31.409939
81826,2017,"Douglas-fir",0,8390,-110.319359,31.409939
81831,2006,"Douglas-fir",0,6130,-109.210305,33.602894
81831,2016,"Douglas-fir",2,6130,-109.210305,33.602894
81862,2007,"Douglas-fir",1,8330,-109.315999,33.694017
81862,2017,"Douglas-fir",13,8330,-109.315999,33.694017
81867,2006,"Douglas-fir",1,6800,-112.325563,34.171716
81867,2016,"Douglas-fir",5,6800,-112.325563,34.171716
81906,2007,"Douglas-fir",0,8500,-112.238689,36.414033
81906,2017,"Douglas-fir",1,8500,-112.238689,36.414033
81918,2008,"Douglas-fir",0,6410,-111.823818,35.018983
81918,2018,"Douglas-fir",5,6410,-111.823818,35.018983
81929,2002,"Douglas-fir",2,7270,-109.888083,36.321454
81929,2012,"Douglas-fir",7,7270,-109.888083,36.321454
81941,2009,"Douglas-fir",0,9430,-109.11389,33.878696
81941,2019,"Douglas-fir",2,9430,-109.11389,33.878696
81974,2009,"Douglas-fir",0,7900,-111.90318,35.453509
81974,2019,"Douglas-fir",0,7900,-111.90318,35.453509
81994,2011,"Douglas-fir",0,5960,-111.033376,34.28005
81994,2021,"Douglas-fir",0,5960,-111.033376,34.28005
82187,2002,"Douglas-fir",6,7760,-109.30933,31.851354
82187,2012,"Douglas-fir",17,7760,-109.30933,31.851354
82200,2003,"Douglas-fir",5,8540,-110.790426,32.449586
82200,2013,"Douglas-fir",6,8540,-110.790426,32.449586
82202,2003,"Douglas-fir",5,7020,-110.832837,34.250051
82202,2013,"Douglas-fir",5,7020,-110.832837,34.250051
82330,2010,"Douglas-fir",0,7090,-109.822163,33.347486
82330,2020,"Douglas-fir",4,7090,-109.822163,33.347486
82372,2007,"Douglas-fir",4,8010,-111.824296,35.427059
82372,2017,"Douglas-fir",4,8010,-111.824296,35.427059
82488,2002,"Douglas-fir",2,6560,-110.026666,34.159067
